incident_id,timestamp,service_name,environment,severity,incident_title,region,host,log_chunk
INC-300041,2025-01-01T11:25:00,order-service,qa,INFO,db connection pool exhausted,EU,host-a,"Please help - 2025-01-01 11:25:00 INFO  order-service Starting request correlationId=INC-300041
2025-01-01 11:25:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 11:25:02 ERROR order-service Request failed during downstream call
2025-01-01 11:25:02 INFO  gateway Response status=500 path=/api/resource"
INC-300042,2025-01-01T11:30:00,order-service,qa,WARN,db connection pool exhausted,EU,host-c,"PLEASE HELP - 2025-01-01 11:30:00 INFO  ORDER-SERVICE STARTING REQUEST CORRELATIONID=INC-300042
2025-01-01 11:30:00 WARN  ORDER-SERVICE FAILED TO OBTAIN JDBC CONNECTION
2025-01-01 11:30:02 ERROR ORDER-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 11:30:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE"
INC-300043,2025-01-01T11:35:00,gateway,dev,ERROR,cache stampede,IN,host-c,"Please help - 2025-01-01 11:35:00 INFO  gateway Starting request correlationId=INC-300043
2025-01-01 11:35:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 11:35:02 ERROR gateway Request failed during downstream call
2025-01-01 11:35:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
INC-300044,2025-01-01T11:40:00,pricing-service,prod,ERROR,pricing timeout,US,host-c,"FYI - 2025-01-01 11:40:00 INFO  pricing-service Starting request correlationId=INC-300044
2025-01-01 11:40:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 11:40:02 ERROR pricing-service Request failed during downstream call
2025-01-01 11:40:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300045,2025-01-01T11:45:00,pricing-service,dev,WARN,pricing timeout,APAC,host-a,"Hi team,  2025-01-01 11:45:00 INFO  pricing-service Starting request correlationId=INC-300045
2025-01-01 11:45:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 11:45:02 ERROR pricing-service Request failed during downstream call
2025-01-01 11:45:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300046,2025-01-01T11:50:00,notification-worker,prod,WARN,null pointer in notification builder,US,host-a,"FYI - 2025-01-01 11:50:00 INFO  notification-worker Starting request correlationId=INC-300046
2025-01-01 11:50:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 11:50:02 ERROR notification-worker Request failed during downstream call
2025-01-01 11:50:02 INFO  gateway Response status=500 path=/api/resource"
INC-300047,2025-01-01T11:55:00,document-service,qa,INFO,s3 upload failure,MEA,host-a,"Hi team,  2025-01-01 11:55:00 INFO  document-service Starting request correlationId=INC-300047
2025-01-01 11:55:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 11:55:02 ERROR document-service Request failed during downstream call
2025-01-01 11:55:02 INFO  gateway Response status=500 path=/api/resource"
INC-300048,2025-01-01T12:00:00,gateway,dev,INFO,cache stampede,MEA,host-a,"Please help - 2025-01-01 12:00:00 INFO  gateway Starting request correlationId=INC-300048
2025-01-01 12:00:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 12:00:02 ERROR gateway Request failed during downstream call
2025-01-01 12:00:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300049,2025-01-01T12:05:00,document-service,prod,WARN,s3 upload failure,IN,host-b,"FYI - 2025-01-01 12:05:00 INFO  document-service Starting request correlationId=INC-300049
2025-01-01 12:05:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 12:05:02 ERROR document-service Request failed during downstream call
2025-01-01 12:05:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
INC-300050,2025-01-01T12:10:00,order-service,prod,WARN,db connection pool exhausted,MEA,host-d,"Hi team,  2025-01-01 12:10:00 INFO  order-service Starting request correlationId=INC-300050
2025-01-01 12:10:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 12:10:02 ERROR order-service Request failed during downstream call
2025-01-01 12:10:02 INFO  gateway Response status=500 path=/api/resource"
INC-300051,2025-01-01T12:15:00,document-service,dev,WARN,s3 upload failure,IN,host-a,"FYI - 2025-01-01 12:15:00 INFO  document-service Starting request correlationId=INC-300051
2025-01-01 12:15:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 12:15:02 ERROR document-service Request failed during downstream call
2025-01-01 12:15:02 INFO  gateway Response status=500 path=/api/resource"
INC-300052,2025-01-01T12:20:00,pricing-service,prod,ERROR,pricing timeout,IN,host-a,"Hi  team,    2025-01-01  12:20:00  INFO    pricing-service  Starting  request  correlationId=INC-300052
2025-01-01  12:20:00  WARN    pricing-service  Timeout  while  calling  pricing  service  after  2000ms
2025-01-01  12:20:02  ERROR  pricing-service  Request  failed  during  downstream  call
2025-01-01  12:20:02  INFO    gateway  Response  status=500  path=/api/resource"
INC-300053,2025-01-01T12:25:00,document-service,prod,WARN,s3 upload failure,MEA,host-d,"Hi  team,    2025-01-01  12:25:00  INFO    document-service  Starting  request  correlationId=INC-300053
2025-01-01  12:25:00  WARN    document-service  Upload  failed  with  403  signature  mismatch
2025-01-01  12:25:02  ERROR  document-service  Request  failed  during  downstream  call
2025-01-01  12:25:02  INFO    gateway  Response  status=500  path=/api/resource      Thanks.    "
INC-300054,2025-01-01T12:30:00,order-service,dev,INFO,db connection pool exhausted,MEA,host-a,"Please help - 2025-01-01 12:30:00 INFO  order-service Starting request correlationId=INC-300054
2025-01-01 12:30:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 12:30:02 ERROR order-service Request failed during downstream call
2025-01-01 12:30:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 12:30:03 INFO  retry-handler Retrying attempt=2   Thanks.  "
INC-300055,2025-01-01T12:35:00,gateway,prod,WARN,cache stampede,US,host-a,"URGENT:  2025-01-01  12:35:00  INFO    gateway  Starting  request  correlationId=INC-300055
2025-01-01  12:35:00  WARN    gateway  Cache  miss  burst  caused  latency  spike
2025-01-01  12:35:02  ERROR  gateway  Request  failed  during  downstream  call
2025-01-01  12:35:02  INFO    gateway  Response  status=500  path=/api/resource

This  is  affecting  users."
INC-300056,2025-01-01T12:40:00,pricing-service,prod,INFO,pricing timeout,APAC,host-a,"Hi team,  2025-01-01 12:40:00 INFO  pricing-service Starting request correlationId=INC-300056
2025-01-01 12:40:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 12:40:02 ERROR pricing-service Request failed during downstream call
2025-01-01 12:40:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300057,2025-01-01T12:45:00,order-service,prod,ERROR,db connection pool exhausted,EU,host-b,"FYI  -  2025-01-01  12:45:00  INFO    order-service  Starting  request  correlationId=INC-300057
2025-01-01  12:45:00  WARN    order-service  Failed  to  obtain  JDBC  connection
2025-01-01  12:45:02  ERROR  order-service  Request  failed  during  downstream  call
2025-01-01  12:45:02  INFO    gateway  Response  status=500  path=/api/resource
  Sent  from  mobile."
INC-300058,2025-01-01T12:50:00,order-service,dev,ERROR,db connection pool exhausted,APAC,host-b,"FYI - 2025-01-01 12:50:00 INFO  order-service Starting request correlationId=INC-300058
2025-01-01 12:50:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 12:50:02 ERROR order-service Request failed during downstream call
2025-01-01 12:50:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300059,2025-01-01T12:55:00,notification-worker,dev,INFO,null pointer in notification builder,MEA,host-b,"Hi team,  2025-01-01 12:55:00 INFO  notification-worker Starting request correlationId=INC-300059
2025-01-01 12:55:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 12:55:02 ERROR notification-worker Request failed during downstream call
2025-01-01 12:55:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
INC-300060,2025-01-01T13:00:00,gateway,dev,ERROR,cache stampede,US,host-c,"Please help - 2025-01-01 13:00:00 INFO  gateway Starting request correlationId=INC-300060
2025-01-01 13:00:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 13:00:02 ERROR gateway Request failed during downstream call
2025-01-01 13:00:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
INC-300061,2025-01-01T13:05:00,pricing-service,dev,ERROR,pricing timeout,MEA,host-a,"URGENT: 2025-01-01 13:05:00 INFO  pricing-service Starting request correlationId=INC-300061
2025-01-01 13:05:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 13:05:02 ERROR pricing-service Request failed during downstream call
2025-01-01 13:05:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300062,2025-01-01T13:10:00,notification-worker,prod,ERROR,null pointer in notification builder,US,host-d,"2025-01-01 13:10:00 INFO  notification-worker Starting request correlationId=INC-300062
2025-01-01 13:10:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 13:10:02 ERROR notification-worker Request failed during downstream call
2025-01-01 13:10:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 13:10:03 INFO  retry-handler Retrying attempt=2

This is affecting users."
INC-300063,2025-01-01T13:15:00,pricing-service,prod,ERROR,pricing timeout,EU,host-a,"Please help - 2025-01-01 13:15:00 INFO  pricing-service Starting request correlationId=INC-300063
2025-01-01 13:15:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 13:15:02 ERROR pricing-service Request failed during downstream call
2025-01-01 13:15:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
