requirement_id,received_at,source,product_area,requester_role,raw_requirement_text,business_context,delivery_window,priority_hint
REQ-200020,2025-01-02T04:00:00,notion,document workflow,ops lead,Please plan a first release for exception dashboard. Primary need: view SLA metrics. Secondary need: send alerts. Nice to have: upload documents. Need visibility for user-level activity report. This is affecting users.,FYI - Current manual process is slow and error-prone. Thanks.,2 weeks,medium
REQ-200021,2025-01-02T05:00:00,notion,analytics,sales engineer,"FYI - We need audit export for analytics. Users should be able to export CSV, assign approvers, and upload documents. Admins want approval bottlenecks. Keep v1 simple and web-first. Sent from mobile.",Please help - Needed for enterprise rollout next quarter.,next quarter,low
REQ-200022,2025-01-02T06:00:00,notion,inventory,engineering manager,"Hi team, Please plan a first release for self-service onboarding. Primary need: export CSV. Secondary need: send alerts. Nice to have: retry failed jobs. Need visibility for daily trend charts. Thanks.",URGENT: Leadership wants better visibility before scale-up. This is affecting users.,2 weeks,medium
REQ-200023,2025-01-02T07:00:00,meeting_notes,document workflow,product manager,"We need self-service onboarding for document workflow. Users should be able to retry failed jobs, view SLA metrics, and comment on review. Admins want approval bottlenecks. Keep v1 simple and web-first.","Hi team, Support team gets repeated complaints.",1 month,medium
REQ-200024,2025-01-02T08:00:00,crm_sync,document workflow,product manager,URGENT: Please plan a first release for self-service onboarding. Primary need: track status. Secondary need: filter pending items. Nice to have: search history. Need visibility for user-level activity report. Thanks.,Needed for enterprise rollout next quarter. Sent from mobile.,1 month,medium
REQ-200025,2025-01-02T09:00:00,notion,inventory,ops lead,URGENT: Client asked for approval workflow in inventory. The system must support send alerts. It should also allow comment on review. Reporting should include failure reasons. This is affecting users.,FYI - Needed for enterprise rollout next quarter. Thanks.,2 weeks,medium
REQ-200026,2025-01-02T10:00:00,crm_sync,inventory,ops lead,Please help - Please plan a first release for approval workflow. Primary need: export CSV. Secondary need: track status. Nice to have: filter pending items. Need visibility for daily trend charts. Sent from mobile.,Please help - Current manual process is slow and error-prone. Thanks.,TBD,low
REQ-200027,2025-01-02T11:00:00,notion,payments,product manager,"Hi team, We need exception dashboard for payments. Users should be able to upload documents, assign approvers, and export CSV. Admins want approval bottlenecks. Keep v1 simple and web-first. This is affecting users.",Leadership wants better visibility before scale-up. Thanks.,2 weeks,high
REQ-200028,2025-01-02T12:00:00,slack,analytics,product manager,URGENT: Client asked for approval workflow in analytics. The system must support send alerts. It should also allow upload documents. Reporting should include daily trend charts.,Please help - Needed for enterprise rollout next quarter. This is affecting users.,2 weeks,low
REQ-200029,2025-01-02T13:00:00,email,identity,client stakeholder,"URGENT: We need bulk upload for identity. Users should be able to upload documents, track status, and assign approvers. Admins want daily trend charts. Keep v1 simple and web-first. Thanks.","Hi team, Current manual process is slow and error-prone. Sent from mobile.",next quarter,medium
REQ-200030,2025-01-02T14:00:00,crm_sync,identity,engineering manager,"We need approval workflow for identity. Users should be able to assign approvers, export CSV, and upload documents. Admins want approval bottlenecks. Keep v1 simple and web-first. Thanks.",URGENT: Leadership wants better visibility before scale-up. This is affecting users.,1 month,low
REQ-200031,2025-01-02T15:00:00,crm_sync,inventory,product manager,Client Asked For Exception Dashboard In Inventory. The System Must Support Retry Failed Jobs. It Should Also Allow Search History. Reporting Should Include Daily Trend Charts.,URGENT: Leadership wants better visibility before scale-up. This is affecting users.,next quarter,high
REQ-200032,2025-01-02T16:00:00,slack,analytics,sales engineer,"Please help - We need self-service onboarding for analytics. Users should be able to assign approvers, view SLA metrics, and filter pending items. Admins want pending queues and turnaround time. Keep v1 simple and web-first.","Hi team, Needed for enterprise rollout next quarter. Sent from mobile.",1 month,high
REQ-200033,2025-01-02T17:00:00,meeting_notes,analytics,engineering manager,Please help - Client asked for audit export in analytics. The system must support upload documents. It should also allow comment on review. Reporting should include failure reasons.,URGENT: Needed for enterprise rollout next quarter. This is affecting users.,1 month,low
REQ-200034,2025-01-02T18:00:00,notion,analytics,engineering manager,Client asked for approval workflow in analytics. The system must support send alerts. It should also allow track status. Reporting should include pending queues and turnaround time. This is affecting users.,"Hi Team, Support Team Gets Repeated Complaints. Thanks.",1 month,high
REQ-200035,2025-01-02T19:00:00,notion,analytics,ops lead,"Hi team, Please plan a first release for exception dashboard. Primary need: view SLA metrics. Secondary need: search history. Nice to have: upload documents. Need visibility for failure reasons.",FYI - Leadership wants better visibility before scale-up.,2 weeks,medium
REQ-200036,2025-01-02T20:00:00,slack,notifications,product manager,FYI - Client asked for self-service onboarding in notifications. The system must support search history. It should also allow export CSV. Reporting should include user-level activity report. Thanks.,URGENT: Leadership wants better visibility before scale-up. Sent from mobile.,next quarter,medium
REQ-200037,2025-01-02T21:00:00,crm_sync,payments,ops lead,"Hi Team, Please Plan A First Release For Approval Workflow. Primary Need: Send Alerts. Secondary Need: Comment On Review. Nice To Have: Retry Failed Jobs. Need Visibility For Pending Queues And Turnaround Time.","Hi team, Current manual process is slow and error-prone.",1 month,medium
REQ-200038,2025-01-02T22:00:00,meeting_notes,payments,sales engineer,Please help - Please plan a first release for bulk upload. Primary need: view SLA metrics. Secondary need: comment on review. Nice to have: send alerts. Need visibility for daily trend charts. This is affecting users.,URGENT: Current manual process is slow and error-prone. Thanks.,TBD,medium
REQ-200039,2025-01-02T23:00:00,meeting_notes,identity,sales engineer,"Hi team, Client asked for audit export in identity. The system must support assign approvers. It should also allow search history. Reporting should include failure reasons. Thanks.",Current manual process is slow and error-prone. Thanks.,2 weeks,high
REQ-200040,2025-01-03T00:00:00,crm_sync,document workflow,ops lead,"URGENT: We need renewal reminder flow for document workflow. Users should be able to track status, export CSV, and send alerts. Admins want daily trend charts. Keep v1 simple and web-first. Thanks.",Fyi - Needed For Enterprise Rollout Next Quarter. Thanks.,TBD,high
REQ-200041,2025-01-03T01:00:00,email,document workflow,engineering manager,"URGENT: We need exception dashboard for document workflow. Users should be able to filter pending items, search history, and view SLA metrics. Admins want failure reasons. Keep v1 simple and web-first. Sent from mobile.","Hi Team, Needed For Enterprise Rollout Next Quarter. Thanks.",TBD,high
REQ-200042,2025-01-03T02:00:00,meeting_notes,payments,engineering manager,Please help - Please plan a first release for bulk upload. Primary need: assign approvers. Secondary need: view SLA metrics. Nice to have: export CSV. Need visibility for daily trend charts. Sent from mobile.,Please help - Needed for enterprise rollout next quarter.,next quarter,medium
REQ-200043,2025-01-03T03:00:00,slack,analytics,product manager,"URGENT: We need approval workflow for analytics. Users should be able to upload documents, send alerts, and filter pending items. Admins want daily trend charts. Keep v1 simple and web-first. This is affecting users.","Hi team, Support team gets repeated complaints. This is affecting users.",TBD,high
REQ-200044,2025-01-03T04:00:00,slack,document workflow,ops lead,"FYI - We need renewal reminder flow for document workflow. Users should be able to assign approvers, comment on review, and search history. Admins want failure reasons. Keep v1 simple and web-first. Thanks.",FYI - Support team gets repeated complaints.,1 month,low
REQ-200045,2025-01-03T05:00:00,notion,payments,engineering manager,Please plan a first release for approval workflow. Primary need: export CSV. Secondary need: send alerts. Nice to have: filter pending items. Need visibility for failure reasons. This is affecting users.,FYI - Leadership wants better visibility before scale-up. Thanks.,TBD,high
REQ-200046,2025-01-03T06:00:00,crm_sync,document workflow,ops lead,"URGENT: We need audit export for document workflow. Users should be able to search history, retry failed jobs, and export CSV. Admins want approval bottlenecks. Keep v1 simple and web-first.","Hi team, Current manual process is slow and error-prone. Sent from mobile.",1 month,medium
REQ-200047,2025-01-03T07:00:00,email,notifications,client stakeholder,"FYI - We need bulk upload for notifications. Users should be able to send alerts, search history, and export CSV. Admins want daily trend charts. Keep v1 simple and web-first.",FYI - Support team gets repeated complaints. This is affecting users.,next quarter,low
REQ-200048,2025-01-03T08:00:00,meeting_notes,notifications,client stakeholder,FYI - Client asked for approval workflow in notifications. The system must support track status. It should also allow assign approvers. Reporting should include daily trend charts. This is affecting users.,URGENT: Current manual process is slow and error-prone. Sent from mobile.,TBD,low
REQ-200049,2025-01-03T09:00:00,crm_sync,identity,sales engineer,"Please help - We need audit export for identity. Users should be able to retry failed jobs, assign approvers, and view SLA metrics. Admins want failure reasons. Keep v1 simple and web-first.",Support team gets repeated complaints. Sent from mobile.,2 weeks,medium
REQ-200050,2025-01-03T10:00:00,crm_sync,notifications,sales engineer,FYI - Client asked for renewal reminder flow in notifications. The system must support search history. It should also allow filter pending items. Reporting should include failure reasons. This is affecting users.,FYI - Support team gets repeated complaints. Sent from mobile.,TBD,medium
REQ-200051,2025-01-03T11:00:00,slack,identity,product manager,"We Need Renewal Reminder Flow For Identity. Users Should Be Able To Send Alerts, Upload Documents, And Comment On Review. Admins Want Daily Trend Charts. Keep V1 Simple And Web-First.",Please Help - Needed For Enterprise Rollout Next Quarter. Sent From Mobile.,next quarter,high
REQ-200052,2025-01-03T12:00:00,slack,notifications,sales engineer,Please help - Client asked for exception dashboard in notifications. The system must support comment on review. It should also allow retry failed jobs. Reporting should include user-level activity report. This is affecting users.,URGENT: Leadership wants better visibility before scale-up.,TBD,medium
REQ-200053,2025-01-03T13:00:00,notion,document workflow,sales engineer,Please Help - Please Plan A First Release For Exception Dashboard. Primary Need: Upload Documents. Secondary Need: View Sla Metrics. Nice To Have: Export Csv. Need Visibility For Failure Reasons. Thanks.,Please help - Needed for enterprise rollout next quarter. Sent from mobile.,1 month,medium
REQ-200054,2025-01-03T14:00:00,meeting_notes,inventory,client stakeholder,"Hi team, Client asked for exception dashboard in inventory. The system must support search history. It should also allow track status. Reporting should include pending queues and turnaround time. Sent from mobile.",FYI - Needed for enterprise rollout next quarter. Thanks.,2 weeks,low
REQ-200055,2025-01-03T15:00:00,notion,document workflow,ops lead,"Hi team, We need self-service onboarding for document workflow. Users should be able to send alerts, export CSV, and view SLA metrics. Admins want approval bottlenecks. Keep v1 simple and web-first. Thanks.",Current manual process is slow and error-prone. This is affecting users.,1 month,low
REQ-200056,2025-01-03T16:00:00,email,inventory,sales engineer,Please help - Please plan a first release for audit export. Primary need: track status. Secondary need: send alerts. Nice to have: search history. Need visibility for approval bottlenecks.,FYI - Leadership wants better visibility before scale-up. Sent from mobile.,1 month,high
REQ-200057,2025-01-03T17:00:00,notion,payments,ops lead,Please plan a first release for approval workflow. Primary need: filter pending items. Secondary need: export CSV. Nice to have: search history. Need visibility for pending queues and turnaround time. Sent from mobile.,Please help - Leadership wants better visibility before scale-up. This is affecting users.,2 weeks,high
REQ-200058,2025-01-03T18:00:00,crm_sync,notifications,product manager,"Hi team, Client asked for self-service onboarding in notifications. The system must support send alerts. It should also allow search history. Reporting should include approval bottlenecks. Sent from mobile.",URGENT: Support team gets repeated complaints. Thanks.,2 weeks,medium
REQ-200059,2025-01-03T19:00:00,crm_sync,inventory,product manager,Please help - Please plan a first release for approval workflow. Primary need: retry failed jobs. Secondary need: assign approvers. Nice to have: filter pending items. Need visibility for user-level activity report. Thanks.,Current manual process is slow and error-prone. Sent from mobile.,TBD,medium
REQ-200060,2025-01-03T20:00:00,slack,identity,ops lead,"FYI - We need exception dashboard for identity. Users should be able to filter pending items, track status, and search history. Admins want approval bottlenecks. Keep v1 simple and web-first. Thanks.",FYI - Current manual process is slow and error-prone. This is affecting users.,TBD,high
REQ-200061,2025-01-03T21:00:00,meeting_notes,identity,engineering manager,Please plan a first release for approval workflow. Primary need: export CSV. Secondary need: assign approvers. Nice to have: send alerts. Need visibility for daily trend charts. This is affecting users.,"Hi team, Support team gets repeated complaints. Sent from mobile.",1 month,low
REQ-200062,2025-01-03T22:00:00,meeting_notes,payments,product manager,"URGENT: We need self-service onboarding for payments. Users should be able to upload documents, export CSV, and retry failed jobs. Admins want approval bottlenecks. Keep v1 simple and web-first.",Please Help - Needed For Enterprise Rollout Next Quarter. Thanks.,TBD,high
REQ-200063,2025-01-03T23:00:00,meeting_notes,identity,client stakeholder,Please help - Client asked for exception dashboard in identity. The system must support search history. It should also allow export CSV. Reporting should include daily trend charts. Thanks.,FYI - Leadership wants better visibility before scale-up.,1 month,medium
REQ-200064,2025-01-04T00:00:00,crm_sync,identity,engineering manager,Client asked for renewal reminder flow in identity. The system must support upload documents. It should also allow view SLA metrics. Reporting should include user-level activity report. This is affecting users.,URGENT: Support team gets repeated complaints.,TBD,high
REQ-200065,2025-01-04T01:00:00,crm_sync,payments,product manager,Please Help - Please Plan A First Release For Exception Dashboard. Primary Need: View Sla Metrics. Secondary Need: Retry Failed Jobs. Nice To Have: Track Status. Need Visibility For Approval Bottlenecks. Thanks.,URGENT: Needed for enterprise rollout next quarter. Sent from mobile.,next quarter,high
REQ-200066,2025-01-04T02:00:00,crm_sync,identity,ops lead,FYI - Please plan a first release for audit export. Primary need: export CSV. Secondary need: assign approvers. Nice to have: view SLA metrics. Need visibility for daily trend charts. Sent from mobile.,Current manual process is slow and error-prone. Sent from mobile.,TBD,low
REQ-200067,2025-01-04T03:00:00,crm_sync,document workflow,sales engineer,Please plan a first release for bulk upload. Primary need: view SLA metrics. Secondary need: upload documents. Nice to have: filter pending items. Need visibility for pending queues and turnaround time. Thanks.,Leadership Wants Better Visibility Before Scale-Up. Thanks.,TBD,low
REQ-200068,2025-01-04T04:00:00,crm_sync,analytics,client stakeholder,"Hi team, We need self-service onboarding for analytics. Users should be able to view SLA metrics, upload documents, and track status. Admins want failure reasons. Keep v1 simple and web-first. Sent from mobile.",Please help - Current manual process is slow and error-prone. Thanks.,TBD,high
REQ-200069,2025-01-04T05:00:00,slack,analytics,ops lead,"Please help - We need audit export for analytics. Users should be able to upload documents, send alerts, and filter pending items. Admins want failure reasons. Keep v1 simple and web-first. Sent from mobile.","Hi team, Current manual process is slow and error-prone. This is affecting users.",TBD,medium
REQ-200070,2025-01-04T06:00:00,notion,notifications,ops lead,"We need bulk upload for notifications. Users should be able to track status, assign approvers, and send alerts. Admins want user-level activity report. Keep v1 simple and web-first. This is affecting users.","Hi team, Support team gets repeated complaints.",1 month,high
REQ-200071,2025-01-04T07:00:00,crm_sync,inventory,client stakeholder,Client asked for renewal reminder flow in inventory. The system must support search history. It should also allow upload documents. Reporting should include approval bottlenecks.,Leadership wants better visibility before scale-up.,next quarter,low
REQ-200072,2025-01-04T08:00:00,crm_sync,analytics,sales engineer,Client asked for bulk upload in analytics. The system must support retry failed jobs. It should also allow comment on review. Reporting should include failure reasons.,FYI - Leadership wants better visibility before scale-up. Sent from mobile.,1 month,medium
REQ-200073,2025-01-04T09:00:00,notion,inventory,engineering manager,Please help - Please plan a first release for renewal reminder flow. Primary need: search history. Secondary need: filter pending items. Nice to have: export CSV. Need visibility for user-level activity report. This is affecting users.,Please help - Current manual process is slow and error-prone. Sent from mobile.,2 weeks,medium
REQ-200074,2025-01-04T10:00:00,crm_sync,payments,client stakeholder,"We need bulk upload for payments. Users should be able to view SLA metrics, filter pending items, and comment on review. Admins want failure reasons. Keep v1 simple and web-first. This is affecting users.","Hi team, Leadership wants better visibility before scale-up. Thanks.",TBD,medium
REQ-200075,2025-01-04T11:00:00,notion,document workflow,client stakeholder,"Hi Team, Please Plan A First Release For Renewal Reminder Flow. Primary Need: Assign Approvers. Secondary Need: Track Status. Nice To Have: Filter Pending Items. Need Visibility For User-Level Activity Report. Thanks.",Support team gets repeated complaints. This is affecting users.,1 month,medium
REQ-200076,2025-01-04T12:00:00,slack,document workflow,ops lead,Please help - Client asked for self-service onboarding in document workflow. The system must support comment on review. It should also allow send alerts. Reporting should include failure reasons. Thanks.,FYI - Support team gets repeated complaints. This is affecting users.,TBD,high
REQ-200077,2025-01-04T13:00:00,notion,identity,product manager,"Hi team, Client asked for renewal reminder flow in identity. The system must support track status. It should also allow export CSV. Reporting should include pending queues and turnaround time. Thanks.",FYI - Leadership wants better visibility before scale-up.,2 weeks,medium
REQ-200078,2025-01-04T14:00:00,notion,inventory,sales engineer,"Hi team, Please plan a first release for exception dashboard. Primary need: comment on review. Secondary need: export CSV. Nice to have: upload documents. Need visibility for approval bottlenecks. Sent from mobile.",FYI - Current manual process is slow and error-prone. Thanks.,1 month,medium
REQ-200079,2025-01-04T15:00:00,slack,payments,client stakeholder,Please plan a first release for approval workflow. Primary need: export CSV. Secondary need: filter pending items. Nice to have: upload documents. Need visibility for approval bottlenecks. Thanks.,FYI - Needed for enterprise rollout next quarter. Sent from mobile.,2 weeks,low
REQ-200080,2025-01-04T16:00:00,meeting_notes,inventory,client stakeholder,"Hi team, We need bulk upload for inventory. Users should be able to export CSV, send alerts, and search history. Admins want pending queues and turnaround time. Keep v1 simple and web-first. Thanks.",Needed for enterprise rollout next quarter. Thanks.,1 month,medium
REQ-200081,2025-01-04T17:00:00,crm_sync,inventory,product manager,URGENT: Client asked for self-service onboarding in inventory. The system must support view SLA metrics. It should also allow upload documents. Reporting should include failure reasons. Thanks.,Leadership wants better visibility before scale-up. This is affecting users.,1 month,medium
REQ-200082,2025-01-04T18:00:00,notion,document workflow,client stakeholder,Please help - Client asked for exception dashboard in document workflow. The system must support comment on review. It should also allow search history. Reporting should include failure reasons.,"Hi team, Leadership wants better visibility before scale-up. Sent from mobile.",next quarter,medium
REQ-200083,2025-01-04T19:00:00,slack,notifications,engineering manager,Please help - Please plan a first release for audit export. Primary need: filter pending items. Secondary need: view SLA metrics. Nice to have: assign approvers. Need visibility for daily trend charts. This is affecting users.,Needed for enterprise rollout next quarter. Thanks.,next quarter,low
REQ-200084,2025-01-04T20:00:00,notion,notifications,ops lead,URGENT: Please plan a first release for bulk upload. Primary need: filter pending items. Secondary need: view SLA metrics. Nice to have: track status. Need visibility for daily trend charts. Sent from mobile.,FYI - Current manual process is slow and error-prone.,1 month,low
REQ-200085,2025-01-04T21:00:00,notion,inventory,sales engineer,"Hi Team, Client Asked For Exception Dashboard In Inventory. The System Must Support Search History. It Should Also Allow Export Csv. Reporting Should Include Failure Reasons. Thanks.",FYI - Leadership wants better visibility before scale-up. Sent from mobile.,2 weeks,medium
REQ-200086,2025-01-04T22:00:00,slack,document workflow,engineering manager,Please help - Client asked for renewal reminder flow in document workflow. The system must support search history. It should also allow upload documents. Reporting should include daily trend charts. Sent from mobile.,FYI - Support team gets repeated complaints.,TBD,medium
REQ-200087,2025-01-04T23:00:00,notion,inventory,client stakeholder,"Please help - We need approval workflow for inventory. Users should be able to send alerts, track status, and filter pending items. Admins want pending queues and turnaround time. Keep v1 simple and web-first. Sent from mobile.",Needed For Enterprise Rollout Next Quarter. Sent From Mobile.,TBD,low
REQ-200088,2025-01-05T00:00:00,meeting_notes,identity,ops lead,Please help - Client asked for approval workflow in identity. The system must support export CSV. It should also allow retry failed jobs. Reporting should include user-level activity report.,"Hi team, Needed for enterprise rollout next quarter. Sent from mobile.",1 month,low
REQ-200089,2025-01-05T01:00:00,email,inventory,client stakeholder,"Hi team, Client asked for exception dashboard in inventory. The system must support assign approvers. It should also allow send alerts. Reporting should include pending queues and turnaround time.",URGENT: Support team gets repeated complaints.,1 month,medium
REQ-200090,2025-01-05T02:00:00,slack,notifications,engineering manager,"Please Help - We Need Exception Dashboard For Notifications. Users Should Be Able To Track Status, View Sla Metrics, And Search History. Admins Want Pending Queues And Turnaround Time. Keep V1 Simple And Web-First.",FYI - Support team gets repeated complaints. Thanks.,TBD,medium
REQ-200091,2025-01-05T03:00:00,notion,payments,product manager,"We need bulk upload for payments. Users should be able to retry failed jobs, assign approvers, and view SLA metrics. Admins want daily trend charts. Keep v1 simple and web-first. This is affecting users.","Hi team, Current manual process is slow and error-prone. Thanks.",2 weeks,low
REQ-200092,2025-01-05T04:00:00,notion,notifications,sales engineer,"Urgent: We Need Renewal Reminder Flow For Notifications. Users Should Be Able To View Sla Metrics, Upload Documents, And Track Status. Admins Want Daily Trend Charts. Keep V1 Simple And Web-First. Thanks.","Hi team, Current manual process is slow and error-prone. This is affecting users.",2 weeks,medium
REQ-200093,2025-01-05T05:00:00,notion,payments,client stakeholder,"Hi team, Client asked for bulk upload in payments. The system must support view SLA metrics. It should also allow search history. Reporting should include user-level activity report. This is affecting users.",Fyi - Support Team Gets Repeated Complaints. Sent From Mobile.,next quarter,medium
REQ-200094,2025-01-05T06:00:00,notion,payments,client stakeholder,Please help - Please plan a first release for self-service onboarding. Primary need: search history. Secondary need: assign approvers. Nice to have: upload documents. Need visibility for approval bottlenecks. Sent from mobile.,URGENT: Current manual process is slow and error-prone. This is affecting users.,1 month,high
REQ-200095,2025-01-05T07:00:00,notion,document workflow,sales engineer,Client asked for self-service onboarding in document workflow. The system must support filter pending items. It should also allow assign approvers. Reporting should include user-level activity report. This is affecting users.,URGENT: Current manual process is slow and error-prone. Thanks.,TBD,medium
REQ-200096,2025-01-05T08:00:00,slack,document workflow,sales engineer,"URGENT: We need exception dashboard for document workflow. Users should be able to search history, comment on review, and filter pending items. Admins want daily trend charts. Keep v1 simple and web-first. Thanks.",Please help - Support team gets repeated complaints. Sent from mobile.,next quarter,medium
REQ-200097,2025-01-05T09:00:00,meeting_notes,identity,ops lead,"Hi team, Please plan a first release for audit export. Primary need: export CSV. Secondary need: assign approvers. Nice to have: filter pending items. Need visibility for daily trend charts. Sent from mobile.",Support team gets repeated complaints. This is affecting users.,TBD,medium
REQ-200098,2025-01-05T10:00:00,notion,notifications,engineering manager,FYI - Client asked for bulk upload in notifications. The system must support retry failed jobs. It should also allow send alerts. Reporting should include daily trend charts. This is affecting users.,Please help - Needed for enterprise rollout next quarter.,next quarter,medium
REQ-200099,2025-01-05T11:00:00,notion,notifications,client stakeholder,FYI - Client asked for audit export in notifications. The system must support send alerts. It should also allow retry failed jobs. Reporting should include pending queues and turnaround time.,Please Help - Current Manual Process Is Slow And Error-Prone.,1 month,medium
REQ-200100,2025-01-05T12:00:00,notion,analytics,sales engineer,"FYI - We need bulk upload for analytics. Users should be able to upload documents, comment on review, and assign approvers. Admins want pending queues and turnaround time. Keep v1 simple and web-first. Sent from mobile.",FYI - Needed for enterprise rollout next quarter. Thanks.,1 month,low
REQ-200101,2025-01-05T13:00:00,slack,document workflow,engineering manager,"Hi team, Please plan a first release for bulk upload. Primary need: search history. Secondary need: export CSV. Nice to have: send alerts. Need visibility for user-level activity report. This is affecting users.",Please help - Current manual process is slow and error-prone. This is affecting users.,1 month,low
